No.,Bit Address,Bit Address,Trigger Condition(0:OFF; 1:ON),Message,Hive,MessageHive,ErrorCode,Severity
154,[PLC1]GGB000041949,MB37149,1,工序1-4-9：1#架台侧左安全门报警,TRUE,1#Side left safety door alarm,F99PSSR-17-03,critical
155,[PLC1]GGB00004194A,MB3714A,1,工序1-4-10：1#架台侧右安全门报警,TRUE,1#Side right safety door alarm,F99PSSR-18-03,critical
156,[PLC1]GGB00004194B,MB3714B,1,工序1-4-11：,TRUE,,,critical
157,[PLC1]GGB00004194C,MB3714C,1,工序1-4-12：,TRUE,,,critical
158,[PLC1]GGB00004194D,MB3714D,1,工序1-4-13：,TRUE,,,critical
160,[PLC1]GGB000042900,MB37200,1,工序2-0-0：RY1轴伺服原点报警,TRUE,RY1 axis servo origin alarm,M02GAA*-05-03,critical
161,[PLC1]GGB000042901,MB37201,1,工序2-0-1：RY1轴伺服报警,TRUE,RY1 axis servo alarm,M99GAA*-06-03,critical
162,[PLC1]GGB000042902,MB37202,1,工序2-0-2：RZ1轴伺服原点报警,TRUE,RZ1 axis servo origin alarm,M02GAA*-07-03,critical
163,[PLC1]GGB000042903,MB37203,1,工序2-0-3：RZ1轴伺服报警,TRUE,RZ1 axis servo alarm,M99GAA*-08-03,critical
164,[PLC1]GGB000042904,MB37204,1,工序2-0-4：RX1轴伺服原点报警,TRUE,RX1 axis servo origin alarm,M02GAA*-19-03,critical
165,[PLC1]GGB000042905,MB37205,1,工序2-0-5：RX1轴伺服报警,TRUE,RX1 axis servo alarm,M99GAA*-20-03,critical
166,[PLC1]GGB000042906,MB37206,1,工序2-0-6：RY2轴伺服原点报警,TRUE,RY2 axis servo origin alarm,M02GAA*-11-03,critical
167,[PLC1]GGB000042907,MB37207,1,工序2-0-7：RY2轴伺服报警,TRUE,RY2 axis servo alarm,M99GAA*-12-03,critical
168,[PLC1]GGB000042908,MB37208,1,工序2-0-8：SP轴伺服原点报警,TRUE,SP axis servo origin alarm,M02GAA*-13-03,critical
169,[PLC1]GGB000042909,MB37209,1,工序2-0-9：SP轴伺服报警,TRUE,SP axis servo alarm,M99GAA*-14-03,critical
170,[PLC1]GGB00004290A,MB3720A,1,工序2-0-10：RY3轴伺服原点报警,TRUE,RY3 axis servo origin alarm,M02GAA*-15-03,critical
171,[PLC1]GGB00004290B,MB3720B,1,工序2-0-11：RY3轴伺服报警,TRUE,RY3 axis servo alarm,M99GAA*-16-03,critical
172,[PLC1]GGB00004290C,MB3720C,1,工序2-0-12：RZ2轴伺服原点报警,TRUE,RZ2 axis servo origin alarm,M02GAA*-17-03,critical
173,[PLC1]GGB00004290D,MB3720D,1,工序2-0-13：RZ2轴伺服报警,TRUE,RZ2 axis servo alarm,M99GAA*-18-03,critical
176,[PLC1]GGB000042910,MB37210,1,工序2-1-0：绕线夹子#1张动作报警,TRUE,Winding clip #1 sheet action alarm,C02PNSP-19-03,critical
177,[PLC1]GGB000042911,MB37211,1,工序2-1-1：绕线夹子#2张动作报警,TRUE,Winding clip #2 sheet action alarm,C02PNSP-20-03,critical
178,[PLC1]GGB000042912,MB37212,1,工序2-1-2：绕线夹子#3张动作报警,TRUE,Winding clip #3 sheet action alarm,C02PNSP-21-03,critical
179,[PLC1]GGB000042913,MB37213,1,工序2-1-4：绕线夹子#4张动作报警,TRUE,Winding clip #4 sheet action alarm,C02PNSP-22-03,critical
180,[PLC1]GGB000042914,MB37214,1,工序2-1-4：绕线取料左右左原点报警,TRUE,Reclaiming translation origin alarm,C01PNSP-111-03,critical
181,[PLC1]GGB000042915,MB37215,1,工序2-1-5：绕线取料左右右动作报警,TRUE,Reclaiming translation action alarm,C02PNSP-112-03,critical
182,[PLC1]GGB000042916,MB37216,1,工序2-1-6：绕线夹子扯线左原点报警,TRUE,The left origin alarm of the winding clamp,C01PNSP-23-03,critical
183,[PLC1]GGB000042917,MB37217,1,工序2-1-7：绕线夹子扯线右动作报警,TRUE,The right action alarm of the winding clamp,C02PNSP-24-03,critical
184,[PLC1]GGB000042918,MB37218,1,工序2-1-8：绕线夹子翻转0°原点报警,TRUE,Winding clamp turns over 0°rigin alarm,C01PNSP-25-03,critical
185,[PLC1]GGB000042919,MB37219,1,工序2-1-9：绕线夹子翻转180°动作报警,TRUE,Winding clamp turns over 180°ction alarm,C02PNSP-26-03,critical
186,[PLC1]GGB00004291A,MB3721A,1,工序2-1-10：导针翻转0°原点报警,TRUE,Guide pin turning 0°rigin alarm,C01PNSP-27-03,critical
187,[PLC1]GGB00004291B,MB3721B,1,工序2-1-11：导针翻转90°动作报警,TRUE,Guide pin turns 90°action alarm,C02PNSP-28-03,critical
188,[PLC1]GGB00004291C,MB3721C,1,工序2-1-12：主轴锁上原点报警,TRUE,Spindle lock origin alarm,C01PNSP-29-03,critical
189,[PLC1]GGB00004291D,MB3721D,1,工序2-1-13：主轴锁下动作报警,TRUE,Spindle lock action alarm,C02PNSP-30-03,critical
192,[PLC1]GGB000042920,MB37220,1,工序2-2-0：绕线治具锁上原点报警,TRUE,The winding jig locks the origin alarm,C01PNSP-31-03,critical
193,[PLC1]GGB000042921,MB37221,1,工序2-2-1：绕线治具锁下动作报警,TRUE,Alarm when winding jig is locked,C02PNSP-32-03,critical
194,[PLC1]GGB000042922,MB37222,1,工序2-2-2：输送带绕线定位锁下原点报警,TRUE,Winding fixed lock origin alarm,C01PNSP-33-03,critical
195,[PLC1]GGB000042923,MB37223,1,工序2-2-3：输送带绕线定位锁上动作报警,TRUE,Winding fixed lock action alarm,C02PNSP-34-03,critical
